contract_symbol,date,open,high,low,close,volume,open_interest,month_of_expiration,ticker,expiration_date
BRT_1,23/09/2016,47.41999817,47.41999817,47.41999817,47.41999817,47.41999817,47.41999817,Nov-16,COX16,30/09/2016
BRT_1,26/09/2016,46.04999924,46.04999924,46.04999924,46.04999924,46.04999924,46.04999924,Nov-16,COX16,30/09/2016
BRT_1,27/09/2016,47.06000137,47.06000137,47.06000137,47.06000137,47.06000137,47.06000137,Nov-16,COX16,30/09/2016
BRT_1,28/09/2016,46.13999939,46.13999939,46.13999939,46.13999939,46.13999939,46.13999939,Nov-16,COX16,30/09/2016
BRT_1,29/09/2016,48.86999893,48.86999893,48.86999893,48.86999893,48.86999893,48.86999893,Nov-16,COX16,30/09/2016
BRT_1,30/09/2016,49.18000031,49.18000031,49.18000031,49.18000031,49.18000031,49.18000031,Nov-16,COX16,30/09/2016
BRT_1,03/10/2016,50.02000046,50.02000046,50.02000046,50.02000046,50.02000046,50.02000046,Dec-16,COZ16,31/10/2016
BRT_1,04/10/2016,50.93000031,50.93000031,50.93000031,50.93000031,50.93000031,50.93000031,Dec-16,COZ16,31/10/2016
BRT_1,05/10/2016,51.22000122,51.22000122,51.22000122,51.22000122,51.22000122,51.22000122,Dec-16,COZ16,31/10/2016
BRT_1,06/10/2016,51.75999832,51.75999832,51.75999832,51.75999832,51.75999832,51.75999832,Dec-16,COZ16,31/10/2016
BRT_1,07/10/2016,52.72000122,52.72000122,52.72000122,52.72000122,52.72000122,52.72000122,Dec-16,COZ16,31/10/2016
BRT_1,10/10/2016,51.63000107,51.63000107,51.63000107,51.63000107,51.63000107,51.63000107,Dec-16,COZ16,31/10/2016
BRT_1,11/10/2016,53.11000061,53.11000061,53.11000061,53.11000061,53.11000061,53.11000061,Dec-16,COZ16,31/10/2016
BRT_1,12/10/2016,52.47999954,52.47999954,52.47999954,52.47999954,52.47999954,52.47999954,Dec-16,COZ16,31/10/2016
BRT_1,13/10/2016,51.59999847,51.59999847,51.59999847,51.59999847,51.59999847,51.59999847,Dec-16,COZ16,31/10/2016
BRT_1,14/10/2016,52.06000137,52.06000137,52.06000137,52.06000137,52.06000137,52.06000137,Dec-16,COZ16,31/10/2016
BRT_1,17/10/2016,51.93000031,51.93000031,51.93000031,51.93000031,51.93000031,51.93000031,Dec-16,COZ16,31/10/2016
BRT_1,18/10/2016,51.72000122,51.72000122,51.72000122,51.72000122,51.72000122,51.72000122,Dec-16,COZ16,31/10/2016
BRT_1,19/10/2016,52.13000107,52.13000107,52.13000107,52.13000107,52.13000107,52.13000107,Dec-16,COZ16,31/10/2016
BRT_1,20/10/2016,52.59999847,52.59999847,52.59999847,52.59999847,52.59999847,52.59999847,Dec-16,COZ16,31/10/2016
BRT_1,21/10/2016,51.40000153,51.40000153,51.40000153,51.40000153,51.40000153,51.40000153,Dec-16,COZ16,31/10/2016
BRT_1,24/10/2016,51.88999939,51.88999939,51.88999939,51.88999939,51.88999939,51.88999939,Dec-16,COZ16,31/10/2016
BRT_1,25/10/2016,51.43999863,51.43999863,51.43999863,51.43999863,51.43999863,51.43999863,Dec-16,COZ16,31/10/2016
BRT_1,26/10/2016,50.25999832,50.25999832,50.25999832,50.25999832,50.25999832,50.25999832,Dec-16,COZ16,31/10/2016
BRT_1,27/10/2016,50.04999924,50.04999924,50.04999924,50.04999924,50.04999924,50.04999924,Dec-16,COZ16,31/10/2016
BRT_1,28/10/2016,50.40999985,50.40999985,50.40999985,50.40999985,50.40999985,50.40999985,Dec-16,COZ16,31/10/2016
BRT_1,31/10/2016,49.40999985,49.40999985,49.40999985,49.40999985,49.40999985,49.40999985,Dec-16,COZ16,31/10/2016
BRT_1,01/11/2016,48.72000122,48.72000122,48.72000122,48.72000122,48.72000122,48.72000122,Jan-17,COF17,30/11/2016
BRT_1,02/11/2016,47.90000153,47.90000153,47.90000153,47.90000153,47.90000153,47.90000153,Jan-17,COF17,30/11/2016
BRT_1,03/11/2016,47.15000153,47.15000153,47.15000153,47.15000153,47.15000153,47.15000153,Jan-17,COF17,30/11/2016
BRT_1,04/11/2016,46.43000031,46.43000031,46.43000031,46.43000031,46.43000031,46.43000031,Jan-17,COF17,30/11/2016
BRT_1,07/11/2016,45.70000076,45.70000076,45.70000076,45.70000076,45.70000076,45.70000076,Jan-17,COF17,30/11/2016
BRT_1,08/11/2016,46.29999924,46.29999924,46.29999924,46.29999924,46.29999924,46.29999924,Jan-17,COF17,30/11/2016
BRT_1,09/11/2016,46.04000092,46.04000092,46.04000092,46.04000092,46.04000092,46.04000092,Jan-17,COF17,30/11/2016
BRT_1,10/11/2016,46.36000061,46.36000061,46.36000061,46.36000061,46.36000061,46.36000061,Jan-17,COF17,30/11/2016
BRT_1,11/11/2016,45.79999924,45.79999924,45.79999924,45.79999924,45.79999924,45.79999924,Jan-17,COF17,30/11/2016
BRT_1,14/11/2016,44.54000092,44.54000092,44.54000092,44.54000092,44.54000092,44.54000092,Jan-17,COF17,30/11/2016
BRT_1,15/11/2016,44.70000076,44.70000076,44.70000076,44.70000076,44.70000076,44.70000076,Jan-17,COF17,30/11/2016
BRT_1,16/11/2016,46.88000107,46.88000107,46.88000107,46.88000107,46.88000107,46.88000107,Jan-17,COF17,30/11/2016
BRT_1,17/11/2016,46.43999863,46.43999863,46.43999863,46.43999863,46.43999863,46.43999863,Jan-17,COF17,30/11/2016
BRT_1,18/11/2016,46.04999924,46.04999924,46.04999924,46.04999924,46.04999924,46.04999924,Jan-17,COF17,30/11/2016
BRT_1,21/11/2016,46.91999817,46.91999817,46.91999817,46.91999817,46.91999817,46.91999817,Jan-17,COF17,30/11/2016
BRT_1,22/11/2016,49.25,49.25,49.25,49.25,49.25,49.25,Jan-17,COF17,30/11/2016
BRT_1,23/11/2016,49.20000076,49.20000076,49.20000076,49.20000076,49.20000076,49.20000076,Jan-17,COF17,30/11/2016
BRT_1,24/11/2016,49.02999878,49.02999878,49.02999878,49.02999878,49.02999878,49.02999878,Jan-17,COF17,30/11/2016
BRT_1,25/11/2016,48.95999908,48.95999908,48.95999908,48.95999908,48.95999908,48.95999908,Jan-17,COF17,30/11/2016
BRT_1,28/11/2016,46.70999908,46.70999908,46.70999908,46.70999908,46.70999908,46.70999908,Jan-17,COF17,30/11/2016
BRT_1,29/11/2016,48.06999969,48.06999969,48.06999969,48.06999969,48.06999969,48.06999969,Jan-17,COF17,30/11/2016
BRT_1,30/11/2016,46.54000092,46.54000092,46.54000092,46.54000092,46.54000092,46.54000092,Jan-17,COF17,30/11/2016
BRT_1,01/12/2016,51.72000122,51.72000122,51.72000122,51.72000122,51.72000122,51.72000122,Feb-17,COG17,29/12/2016
BRT_1,02/12/2016,53.88000107,53.88000107,53.88000107,53.88000107,53.88000107,53.88000107,Feb-17,COG17,29/12/2016
BRT_1,05/12/2016,54.40000153,54.40000153,54.40000153,54.40000153,54.40000153,54.40000153,Feb-17,COG17,29/12/2016
BRT_1,06/12/2016,54.5,54.5,54.5,54.5,54.5,54.5,Feb-17,COG17,29/12/2016
BRT_1,07/12/2016,53.93999863,53.93999863,53.93999863,53.93999863,53.93999863,53.93999863,Feb-17,COG17,29/12/2016
BRT_1,08/12/2016,53.15000153,53.15000153,53.15000153,53.15000153,53.15000153,53.15000153,Feb-17,COG17,29/12/2016
